"Supplementary Table 7. Chromosome-specific precision and recall for chromatin states assigned using SOM-VN, CAGT, and magnitude-based modeling.",,,,,,,,
,,19,0.43,0.22,0.33,0.27,0.58,0.75
,,20,0.53,0.38,0.5,0.33,0.78,0.9
,,21,0.42,0.4,0.29,0.31,0.9,0.9
,,22,0.44,0.38,0.57,0.37,0.72,0.87
,,Mean,0.49,0.39,0.34,0.33,0.86,0.89
,,Stdev,0.06,0.05,0.09,0.02,0.09,0.03
,,Difference,-0.01,0.07,-0.03,0.01,0.05,0.01
GM12878,SOM-VN,1,0.66,0.48,N/A,N/A,0.84,0.99
,,2,0.57,0.5,N/A,N/A,0.89,0.99
,,3,0.55,0.52,N/A,N/A,0.89,0.98
,,4,0.47,0.56,N/A,N/A,0.95,0.98
,,5,0.56,0.53,N/A,N/A,0.91,0.99
,,6,0.67,0.46,N/A,N/A,0.87,0.99
,,7,0.57,0.54,N/A,N/A,0.91,0.98
,,8,0.54,0.56,N/A,N/A,0.92,0.98
,,9,0.58,0.54,N/A,N/A,0.88,0.98
,,10,0.59,0.45,N/A,N/A,0.87,0.99
,,11,0.67,0.51,N/A,N/A,0.86,0.99
,,12,0.65,0.47,N/A,N/A,0.86,0.99
,,13,0.47,0.56,N/A,N/A,0.93,0.98
,,14,0.63,0.51,N/A,N/A,0.87,0.99
,,15,0.63,0.48,N/A,N/A,0.83,0.98
,,16,0.65,0.54,N/A,N/A,0.74,0.97
,,17,0.76,0.33,N/A,N/A,0.38,0.92
,,18,0.43,0.56,N/A,N/A,0.92,0.97
,,19,0.71,0.31,N/A,N/A,0.34,0.85
,,20,0.62,0.52,N/A,N/A,0.82,0.98
,,21,0.52,0.6,N/A,N/A,0.92,0.98
,,22,0.67,0.52,N/A,N/A,0.64,0.97
,,Mean,0.6,0.5,N/A,N/A,0.82,0.97
,,Stdev,0.08,0.07,N/A,N/A,0.16,0.03
,CAGT,1,N/A,N/A,N/A,N/A,0.7,1
,,2,N/A,N/A,N/A,N/A,0.86,1
,,3,N/A,N/A,N/A,N/A,0.86,1
,,4,N/A,N/A,N/A,N/A,0.92,1
,,5,N/A,N/A,N/A,N/A,0.88,1
,,6,N/A,N/A,N/A,N/A,0.75,1
,,7,N/A,N/A,N/A,N/A,0.87,1
,,8,N/A,N/A,N/A,N/A,0.89,1
,,9,N/A,N/A,N/A,N/A,0.84,1
,,10,N/A,N/A,N/A,N/A,0.82,1
,,11,N/A,N/A,N/A,N/A,0.71,1
,,12,N/A,N/A,N/A,N/A,0.74,1
,,13,N/A,N/A,N/A,N/A,0.9,1
,,14,N/A,N/A,N/A,N/A,0.81,1
,,15,N/A,N/A,N/A,N/A,0.77,1
,,16,N/A,N/A,N/A,N/A,0.67,1
,,17,N/A,N/A,N/A,N/A,0.34,1
,,18,N/A,N/A,N/A,N/A,0.89,1
,,19,N/A,N/A,N/A,N/A,0.3,1
,,20,N/A,N/A,N/A,N/A,0.7,1
,,21,N/A,N/A,N/A,N/A,0.89,1
,,22,N/A,N/A,N/A,N/A,0.58,1
,,Mean,N/A,N/A,N/A,N/A,0.76,1
,,Stdev,N/A,N/A,N/A,N/A,0.17,0
,Magnitude,1,N/A,N/A,N/A,N/A,0.79,1
,,2,N/A,N/A,N/A,N/A,0.86,1
,,3,N/A,N/A,N/A,N/A,0.85,1
,,4,N/A,N/A,N/A,N/A,0.92,1
,,5,N/A,N/A,N/A,N/A,0.88,1
,,6,N/A,N/A,N/A,N/A,0.84,1
,,7,N/A,N/A,N/A,N/A,0.87,1
,,8,N/A,N/A,N/A,N/A,0.88,1
,,9,N/A,N/A,N/A,N/A,0.83,1
,,10,N/A,N/A,N/A,N/A,0.84,1
,,11,N/A,N/A,N/A,N/A,0.82,1
,,12,N/A,N/A,N/A,N/A,0.82,1
,,13,N/A,N/A,N/A,N/A,0.9,1
,,14,N/A,N/A,N/A,N/A,0.83,1
,,15,N/A,N/A,N/A,N/A,0.8,1
,,16,N/A,N/A,N/A,N/A,0.79,1
,,17,N/A,N/A,N/A,N/A,0.64,1
,,18,N/A,N/A,N/A,N/A,0.89,1
,,19,N/A,N/A,N/A,N/A,0.65,1
,,20,N/A,N/A,N/A,N/A,0.78,1
,,21,N/A,N/A,N/A,N/A,0.88,1
,,22,N/A,N/A,N/A,N/A,0.68,1
,,Mean,N/A,N/A,N/A,N/A,0.82,1
,,Stdev,N/A,N/A,N/A,N/A,0.08,0
,SOM-VN (RPKM > 5),1,0.8,0.51,N/A,N/A,0.84,1
,,2,0.74,0.5,N/A,N/A,0.89,1
,,3,0.77,0.54,N/A,N/A,0.89,1
,,4,0.64,0.56,N/A,N/A,0.94,0.99
,,5,0.73,0.51,N/A,N/A,0.91,1
,,6,0.82,0.49,N/A,N/A,0.87,1
,,7,0.74,0.54,N/A,N/A,0.9,0.99
,,8,0.72,0.56,N/A,N/A,0.91,0.99
,,9,0.76,0.58,N/A,N/A,0.88,0.99
,,10,0.77,0.49,N/A,N/A,0.87,1
,,11,0.82,0.54,N/A,N/A,0.86,1
,,12,0.8,0.51,N/A,N/A,0.87,0.99
,,13,0.63,0.53,N/A,N/A,0.92,0.99
,,14,0.8,0.52,N/A,N/A,0.86,1
,,15,0.8,0.5,N/A,N/A,0.83,0.99
,,16,0.79,0.55,N/A,N/A,0.74,0.99
,,17,0.74,0.42,N/A,N/A,0.5,0.94
,,18,0.6,0.51,N/A,N/A,0.91,0.99
,,19,0.67,0.38,N/A,N/A,0.47,0.9
,,20,0.78,0.54,N/A,N/A,0.82,1
,,21,0.73,0.61,N/A,N/A,0.91,0.99
,,22,0.82,0.54,N/A,N/A,0.64,0.99
,,Mean,0.75,0.52,N/A,N/A,0.83,0.99
,,Average,0.06,0.05,N/A,N/A,0.13,0.02
,,Difference,0.15,0.02,N/A,N/A,0.01,0.01
H1 (L),SOM-VN,1,0.24,0.81,N/A,N/A,0.9,0.87
,,2,0.16,0.84,N/A,N/A,0.93,0.86
,,3,0.16,0.81,N/A,N/A,0.92,0.87
,,4,0.15,0.82,N/A,N/A,0.95,0.89
,,5,0.17,0.85,N/A,N/A,0.94,0.88
,,6,0.23,0.84,N/A,N/A,0.92,0.89
,,7,0.2,0.8,N/A,N/A,0.92,0.89
,,8,0.15,0.85,N/A,N/A,0.94,0.87
,,9,0.22,0.79,N/A,N/A,0.9,0.88
,,10,0.19,0.76,N/A,N/A,0.92,0.88
,,11,0.26,0.84,N/A,N/A,0.89,0.89
,,12,0.23,0.84,N/A,N/A,0.91,0.88
,,13,0.1,0.86,N/A,N/A,0.95,0.82
,,14,0.22,0.83,N/A,N/A,0.91,0.88
,,15,0.2,0.79,N/A,N/A,0.9,0.86
,,16,0.27,0.75,N/A,N/A,0.87,0.86
,,17,0.36,0.74,N/A,N/A,0.73,0.86
,,18,0.13,0.81,N/A,N/A,0.94,0.86
,,19,0.47,0.67,N/A,N/A,0.59,0.67
,,20,0.24,0.79,N/A,N/A,0.87,0.86
,,21,0.12,0.8,N/A,N/A,0.95,0.8
,,22,0.27,0.75,N/A,N/A,0.77,0.82
,,Mean,0.22,0.8,N/A,N/A,0.89,0.86
,,Standard Dev,0.08,0.05,N/A,N/A,0.09,0.05
,CAGT,1,0.05,0.72,N/A,N/A,0.59,0.08
,,2,0.03,0.75,N/A,N/A,0.71,0.09
,,3,0.03,0.74,N/A,N/A,0.7,0.08
,,4,0.02,0.73,N/A,N/A,0.75,0.08
,,5,0.03,0.73,N/A,N/A,0.7,0.08
,,6,0.04,0.71,N/A,N/A,0.65,0.08
,,7,0.03,0.72,N/A,N/A,0.65,0.08
,,8,0.02,0.71,N/A,N/A,0.72,0.09
,,9,0.04,0.74,N/A,N/A,0.64,0.08
,,10,0.04,0.68,N/A,N/A,0.64,0.08
,,11,0.05,0.72,N/A,N/A,0.56,0.07
,,12,0.04,0.7,N/A,N/A,0.62,0.08
,,13,0.02,0.74,N/A,N/A,0.86,0.16
,,14,0.04,0.67,N/A,N/A,0.63,0.07
,,15,0.04,0.74,N/A,N/A,0.64,0.09
,,16,0.06,0.72,N/A,N/A,0.61,0.1
,,17,0.12,0.69,N/A,N/A,0.4,0.13
,,18,0.02,0.71,N/A,N/A,0.74,0.09
,,19,0.3,0.65,N/A,N/A,0.43,0.26
,,20,0.05,0.7,N/A,N/A,0.59,0.09
,,21,0.03,0.74,N/A,N/A,0.81,0.15
,,22,0.08,0.67,N/A,N/A,0.45,0.11
,,Mean,0.05,0.71,N/A,N/A,0.64,0.1
,,Standard Dev,0.06,0.03,N/A,N/A,0.11,0.04
,Magnitude,1,0.1,1,N/A,N/A,1,0
,,2,0.05,1,N/A,N/A,0,0
,,3,0.05,1,N/A,N/A,0,0
,,4,0.04,1,N/A,N/A,0,0
,,5,0.05,1,N/A,N/A,0,0
,,6,0.07,1,N/A,N/A,0,0
,,7,0.07,1,N/A,N/A,0,0
,,8,0.05,1,N/A,N/A,0,0
,,9,0.08,1,N/A,N/A,0,0
,,10,0.07,1,N/A,N/A,0,0
,,11,0.09,1,N/A,N/A,0,0
,,12,0.08,1,N/A,N/A,0,0
,,13,0.04,1,N/A,N/A,0,0
,,14,0.08,1,N/A,N/A,0,0
,,15,0.09,1,N/A,N/A,0,0
,,16,0.11,1,N/A,N/A,0,0
,,17,0.17,1,N/A,N/A,0,0
,,18,0.04,1,N/A,N/A,0,0
,,19,0.29,1,N/A,N/A,0,0
,,20,0.1,1,N/A,N/A,0,0
,,21,0.04,1,N/A,N/A,0,0
,,22,0.17,1,N/A,N/A,0,0
,,Mean,0.09,1,N/A,N/A,0.05,0
,,Stdev,0.06,0,N/A,N/A,0.21,0
,SOM-VN (RPKM > 5),1,0.3,0.83,N/A,N/A,0.92,0.86
,,2,0.19,0.79,N/A,N/A,0.94,0.83
,,3,0.2,0.82,N/A,N/A,0.95,0.83
,,4,0.17,0.78,N/A,N/A,0.96,0.85
,,5,0.19,0.79,N/A,N/A,0.95,0.84
,,6,0.26,0.8,N/A,N/A,0.94,0.87
,,7,0.25,0.77,N/A,N/A,0.94,0.87
,,8,0.18,0.77,N/A,N/A,0.95,0.83
,,9,0.26,0.8,N/A,N/A,0.92,0.87
,,10,0.24,0.78,N/A,N/A,0.93,0.87
,,11,0.31,0.82,N/A,N/A,0.92,0.89
,,12,0.29,0.82,N/A,N/A,0.94,0.87
,,13,0.11,0.82,N/A,N/A,0.96,0.7
,,14,0.27,0.78,N/A,N/A,0.94,0.87
,,15,0.28,0.83,N/A,N/A,0.93,0.86
,,16,0.33,0.82,N/A,N/A,0.9,0.86
,,17,0.42,0.8,N/A,N/A,0.83,0.88
,,18,0.15,0.76,N/A,N/A,0.95,0.82
,,19,0.58,0.75,N/A,N/A,0.74,0.85
,,20,0.29,0.82,N/A,N/A,0.9,0.85
,,21,0.14,0.84,N/A,N/A,0.95,0.71
,,22,0.34,0.78,N/A,N/A,0.8,0.83
,,Mean,0.26,0.8,N/A,N/A,0.92,0.84
,,Stdev,0.1,0.03,N/A,N/A,0.06,0.05
,,Difference,0.13,-0.02,N/A,N/A,-0.09,-0.03
H1 (H),SOM-VN,1,0.58,0.56,N/A,N/A,0.72,0.96
,,2,0.57,0.58,N/A,N/A,0.83,0.98
,,3,0.58,0.57,N/A,N/A,0.85,0.98
,,4,0.57,0.52,N/A,N/A,0.88,0.98
,,5,0.58,0.55,N/A,N/A,0.84,0.98
,,6,0.62,0.51,N/A,N/A,0.81,0.98
,,7,0.53,0.52,N/A,N/A,0.8,0.97
,,8,0.54,0.53,N/A,N/A,0.84,0.98
,,9,0.53,0.59,N/A,N/A,0.76,0.96
,,10,0.59,0.54,N/A,N/A,0.78,0.97
,,11,0.58,0.56,N/A,N/A,0.7,0.96
,,12,0.63,0.55,N/A,N/A,0.78,0.98
,,13,0.37,0.78,N/A,N/A,0.93,0.97
,,14,0.6,0.6,N/A,N/A,0.8,0.97
,,15,0.58,0.6,N/A,N/A,0.75,0.97
,,16,0.64,0.65,N/A,N/A,0.67,0.94
,,17,0.64,0.49,N/A,N/A,0.49,0.92
,,18,0.53,0.59,N/A,N/A,0.85,0.98
,,19,0.73,0.37,N/A,N/A,0.36,0.92
,,20,0.58,0.54,N/A,N/A,0.67,0.95
,,21,0.37,0.75,N/A,N/A,0.91,0.95
,,22,0.58,0.59,N/A,N/A,0.53,0.93
,,Mean,0.57,0.57,N/A,N/A,0.75,0.96
,,Stdev,0.08,0.08,N/A,N/A,0.14,0.02
,CAGT,1,N/A,N/A,N/A,N/A,0.61,1
,,2,N/A,N/A,N/A,N/A,0.77,1
,,3,N/A,N/A,N/A,N/A,0.79,1
,,4,N/A,N/A,N/A,N/A,0.84,1
,,5,N/A,N/A,N/A,N/A,0.78,1
,,6,N/A,N/A,N/A,N/A,0.74,1
,,7,N/A,N/A,N/A,N/A,0.72,1
,,8,N/A,N/A,N/A,N/A,0.78,1
,,9,N/A,N/A,N/A,N/A,0.66,1
,,10,N/A,N/A,N/A,N/A,0.7,1
,,11,N/A,N/A,N/A,N/A,0.6,1
,,12,N/A,N/A,N/A,N/A,0.69,1
,,13,N/A,N/A,N/A,N/A,0.9,1
,,14,N/A,N/A,N/A,N/A,0.72,1
,,15,N/A,N/A,N/A,N/A,0.68,1
,,16,N/A,N/A,N/A,N/A,0.56,1
,,17,N/A,N/A,N/A,N/A,0.39,1
,,18,N/A,N/A,N/A,N/A,0.81,1
,,19,N/A,N/A,N/A,N/A,0.3,1
,,20,N/A,N/A,N/A,N/A,0.57,1
,,21,N/A,N/A,N/A,N/A,0.84,1
,,22,N/A,N/A,N/A,N/A,0.44,1
,,Mean,N/A,N/A,N/A,N/A,0.68,1
,,Stdev,N/A,N/A,N/A,N/A,0.15,0
,Magnitude,1,N/A,N/A,N/A,N/A,0.75,1
,,2,N/A,N/A,N/A,N/A,0.82,1
,,3,N/A,N/A,N/A,N/A,0.82,1
,,4,N/A,N/A,N/A,N/A,0.87,1
,,5,N/A,N/A,N/A,N/A,0.83,1
,,6,N/A,N/A,N/A,N/A,0.81,1
,,7,N/A,N/A,N/A,N/A,0.81,1
,,8,N/A,N/A,N/A,N/A,0.83,1
,,9,N/A,N/A,N/A,N/A,0.79,1
,,10,N/A,N/A,N/A,N/A,0.79,1
,,11,N/A,N/A,N/A,N/A,0.78,1
,,12,N/A,N/A,N/A,N/A,0.79,1
,,13,N/A,N/A,N/A,N/A,0.91,1
,,14,N/A,N/A,N/A,N/A,0.8,1
,,15,N/A,N/A,N/A,N/A,0.74,1
,,16,N/A,N/A,N/A,N/A,0.74,1
,,17,N/A,N/A,N/A,N/A,0.64,1
,,18,N/A,N/A,N/A,N/A,0.84,1
,,19,N/A,N/A,N/A,N/A,0.57,1
,,20,N/A,N/A,N/A,N/A,0.73,1
,,21,N/A,N/A,N/A,N/A,0.88,1
,,22,N/A,N/A,N/A,N/A,0.58,1
,,Mean,N/A,N/A,N/A,N/A,0.78,1
,,Stdev,N/A,N/A,N/A,N/A,0.09,0
,SOM-VN (RPKM > 5),1,0.65,0.68,N/A,N/A,0.82,0.97
,,2,0.64,0.74,N/A,N/A,0.9,0.98
,,3,0.67,0.73,N/A,N/A,0.91,0.99
,,4,0.62,0.7,N/A,N/A,0.94,0.99
,,5,0.64,0.71,N/A,N/A,0.91,0.99
,,6,0.68,0.64,N/A,N/A,0.89,0.99
,,7,0.61,0.67,N/A,N/A,0.87,0.98
,,8,0.62,0.69,N/A,N/A,0.91,0.98
,,9,0.62,0.72,N/A,N/A,0.84,0.97
,,10,0.65,0.7,N/A,N/A,0.87,0.98
,,11,0.65,0.68,N/A,N/A,0.79,0.97
,,12,0.7,0.68,N/A,N/A,0.86,0.98
,,13,0.58,0.74,N/A,N/A,0.93,0.98
,,14,0.66,0.74,N/A,N/A,0.87,0.98
,,15,0.66,0.74,N/A,N/A,0.85,0.97
,,16,0.67,0.72,N/A,N/A,0.76,0.95
,,17,0.7,0.57,N/A,N/A,0.6,0.94
,,18,0.59,0.72,N/A,N/A,0.92,0.98
,,19,0.75,0.42,N/A,N/A,0.47,0.94
,,20,0.63,0.67,N/A,N/A,0.77,0.96
,,21,0.52,0.73,N/A,N/A,0.9,0.98
,,22,0.66,0.7,N/A,N/A,0.66,0.95
,,Mean,0.64,0.69,N/A,N/A,0.83,0.97
,,Stdev,0.05,0.07,N/A,N/A,0.12,0.02
,,Difference,0.07,0.12,N/A,N/A,0.08,0.01
Heart (L),SOM-VN,1,0.62,0.02,0.5,0.43,0.79,0.93
,,2,0.67,0.05,0.46,0.44,0.88,0.92
,,3,0.63,0.06,0.44,0.44,0.88,0.91
,,4,0.73,0.07,0.41,0.5,0.92,0.92
,,5,0.7,0.04,0.45,0.42,0.88,0.93
,,6,0.8,0.05,0.43,0.42,0.87,0.92
,,7,0.84,0.05,0.43,0.42,0.88,0.92
,,8,0.48,0.02,0.44,0.45,0.89,0.92
,,9,0.48,0.04,0.45,0.47,0.87,0.91
,,10,0.9,0.02,0.51,0.44,0.82,0.93
,,11,0.81,0.02,0.5,0.42,0.82,0.94
,,12,0.87,0.03,0.46,0.42,0.84,0.93
,,13,0.75,0.08,0.43,0.52,0.92,0.91
,,14,0.85,0.06,0.45,0.45,0.88,0.92
,,15,0.62,0.01,0.52,0.44,0.78,0.92
,,16,0.75,0.04,0.45,0.45,0.84,0.92
,,17,0.5,0,0.47,0.38,0.71,0.93
,,18,0.67,0.06,0.43,0.53,0.91,0.9
,,19,1,0,0.31,0.33,0.68,0.89
,,20,0.89,0.02,0.48,0.46,0.81,0.91
,,21,0.77,0.09,0.38,0.51,0.9,0.88
,,22,0.7,0.03,0.58,0.52,0.72,0.88
,,Mean,0.73,0.04,0.45,0.45,0.84,0.92
,,Stdev,0.14,0.02,0.05,0.05,0.07,0.01
,CAGT,1,N/A,N/A,0.49,0.03,0.7,0.99
,,2,N/A,N/A,0.41,0.05,0.81,0.99
,,3,N/A,N/A,0.42,0.05,0.81,0.99
,,4,N/A,N/A,0.3,0.06,0.87,0.98
,,5,N/A,N/A,0.44,0.05,0.82,0.99
,,6,N/A,N/A,0.38,0.05,0.8,0.99
,,7,N/A,N/A,0.36,0.05,0.82,0.99
,,8,N/A,N/A,0.36,0.04,0.83,0.99
,,9,N/A,N/A,0.41,0.05,0.79,0.99
,,10,N/A,N/A,0.49,0.03,0.74,0.99
,,11,N/A,N/A,0.47,0.03,0.74,0.99
,,12,N/A,N/A,0.39,0.03,0.77,0.99
,,13,N/A,N/A,0.3,0.06,0.86,0.98
,,14,N/A,N/A,0.46,0.05,0.81,0.99
,,15,N/A,N/A,0.53,0.04,0.69,0.99
,,16,N/A,N/A,0.46,0.04,0.76,0.99
,,17,N/A,N/A,0.53,0.03,0.6,0.99
,,18,N/A,N/A,0.36,0.07,0.84,0.98
,,19,N/A,N/A,0.3,0.02,0.52,0.99
,,20,N/A,N/A,0.45,0.04,0.73,0.99
,,21,N/A,N/A,0.29,0.07,0.84,0.98
,,22,N/A,N/A,0.72,0.06,0.6,0.99
,,Mean,N/A,N/A,0.42,0.05,0.76,0.99
,,Stdev,N/A,N/A,0.1,0.01,0.09,0
,Magnitude,1,N/A,N/A,0,0,0.7,1
,,2,N/A,N/A,0,0,0.8,1
,,3,N/A,N/A,1,0,0.8,1
,,4,N/A,N/A,0,0,0.86,1
,,5,N/A,N/A,0,0,0.81,1
,,6,N/A,N/A,0.5,0,0.79,1
,,7,N/A,N/A,0,0,0.82,1
,,8,N/A,N/A,0,0,0.83,1
,,9,N/A,N/A,0,0,0.79,1
,,10,N/A,N/A,0,0,0.74,1
,,11,N/A,N/A,0,0,0.73,1
,,12,N/A,N/A,0,0,0.76,1
,,13,N/A,N/A,0,0,0.85,1
,,14,N/A,N/A,0,0,0.8,1
,,15,N/A,N/A,0,0,0.69,1
,,16,N/A,N/A,1,0,0.76,1
,,17,N/A,N/A,0,0,0.64,1
,,18,N/A,N/A,0,0,0.83,1
,,19,N/A,N/A,0,0,0.67,1
,,20,N/A,N/A,0,0,0.72,1
,,21,N/A,N/A,0.5,0,0.83,1
,,22,N/A,N/A,0,0,0.58,1
,,Mean,N/A,N/A,0.14,0,0.76,1
,,Stdev,N/A,N/A,0.32,0,0.07,0
,SOM-VN (RPKM > 5),1,0.67,0.02,0.47,0.42,0.84,0.93
,,2,0.75,0.04,0.46,0.47,0.89,0.93
,,3,0.76,0.06,0.45,0.46,0.89,0.93
,,4,0.78,0.06,0.41,0.52,0.93,0.93
,,5,0.72,0.03,0.46,0.45,0.89,0.94
,,6,0.88,0.04,0.44,0.45,0.89,0.93
,,7,0.87,0.04,0.43,0.45,0.9,0.94
,,8,0.68,0.02,0.45,0.47,0.91,0.94
,,9,0.6,0.04,0.46,0.48,0.88,0.93
,,10,0.79,0.03,0.49,0.45,0.87,0.94
,,11,0.85,0.03,0.47,0.43,0.87,0.94
,,12,0.83,0.04,0.42,0.42,0.88,0.94
,,13,0.82,0.07,0.43,0.54,0.92,0.93
,,14,0.87,0.05,0.43,0.44,0.89,0.94
,,15,0.75,0.02,0.49,0.45,0.83,0.92
,,16,0.77,0.05,0.42,0.45,0.88,0.93
,,17,1,0.01,0.45,0.36,0.76,0.93
,,18,0.72,0.04,0.43,0.56,0.92,0.92
,,19,0,0,0.3,0.32,0.75,0.9
,,20,0.89,0.03,0.43,0.42,0.85,0.92
,,21,0.83,0.07,0.4,0.53,0.91,0.91
,,22,0.56,0.02,0.55,0.5,0.76,0.9
,,Mean,0.75,0.04,0.44,0.46,0.87,0.93
,,Stdev,0.19,0.02,0.05,0.06,0.05,0.01
,,Difference,0.02,0,-0.01,0.01,0.03,0.01
Heart (H),SOM-VN,1,0.34,0.02,0.47,0.95,0.95,0.62
,,2,0.25,0.02,0.43,0.96,0.97,0.58
,,3,0.32,0.02,0.43,0.96,0.97,0.58
,,4,0.16,0.01,0.36,0.99,0.98,0.3
,,5,0.15,0.01,0.41,0.97,0.97,0.49
,,6,0.26,0.02,0.42,0.97,0.97,0.57
,,7,0.19,0.02,0.39,0.97,0.97,0.47
,,8,0.24,0.02,0.4,0.97,0.97,0.5
,,9,0.23,0.02,0.42,0.97,0.97,0.5
,,10,0.24,0.01,0.47,0.96,0.96,0.62
,,11,0.27,0.01,0.46,0.95,0.96,0.67
,,12,0.48,0.02,0.42,0.96,0.97,0.66
,,13,0,0,0.34,0.98,0.97,0.06
,,14,0.23,0.01,0.42,0.98,0.97,0.56
,,15,0.28,0.01,0.49,0.97,0.95,0.55
,,16,0.22,0.01,0.43,0.95,0.96,0.67
,,17,0.44,0.02,0.49,0.94,0.93,0.68
,,18,0.11,0.01,0.39,0.97,0.97,0.45
,,19,0.31,0.01,0.39,0.87,0.9,0.7
,,20,0.36,0.02,0.45,0.95,0.95,0.61
,,21,0.1,0.01,0.36,0.98,0.95,0.11
,,22,0.2,0.01,0.54,0.98,0.95,0.54
,,Mean,0.25,0.01,0.43,0.96,0.96,0.52
,,Stdev,0.11,0.01,0.05,0.02,0.02,0.17
,CAGT,1,N/A,N/A,0.41,0.93,0.73,0.19
,,2,N/A,N/A,0.35,0.94,0.82,0.19
,,3,N/A,N/A,0.34,0.93,0.79,0.19
,,4,N/A,N/A,0.3,0.93,0.86,0.25
,,5,N/A,N/A,0.35,0.94,0.82,0.21
,,6,N/A,N/A,0.36,0.94,0.78,0.18
,,7,N/A,N/A,0.33,0.93,0.79,0.19
,,8,N/A,N/A,0.34,0.94,0.84,0.21
,,9,N/A,N/A,0.36,0.94,0.8,0.19
,,10,N/A,N/A,0.39,0.93,0.78,0.2
,,11,N/A,N/A,0.38,0.94,0.76,0.18
,,12,N/A,N/A,0.35,0.93,0.76,0.2
,,13,N/A,N/A,0.28,0.93,0.86,0.22
,,14,N/A,N/A,0.34,0.94,0.79,0.2
,,15,N/A,N/A,0.4,0.94,0.75,0.18
,,16,N/A,N/A,0.34,0.91,0.76,0.18
,,17,N/A,N/A,0.44,0.93,0.63,0.15
